Kana,Kanji,Type,Definition/s
したく,支度,"n,vs",preparation
じたく,自宅,n,one's home
したしい,親しい,adj,"intimate,close (e.g. friend)"
したまち,下町,n,"Shitamachi,lower parts of town"
しち,七,num,seven
じち,自治,n,"self-government,autonomy"
しつ,質,n,"quality,nature (of person)"
しつ~,室~,,
~しつ,~室,,
~じつ,~日,,
しっかり,,"adj-na,adv,n","firmly,tightly,reliable,level-headed,steady"
じっかん,実感,n,"feelings (actual, true)"
しつぎょう,失業,"n,vs",unemployment
しっけ,湿気,n,"moisture,humidity,dampness"
しっき,湿気,n,"moisture,humidity,dampness"
じっけん,実験,n,experiment
じつげん,実現,"n,vs","implementation,materialization,realization"
しつこい,,adj,"insistent,obstinate"
じっこう,実行,"n,vs","practice,performance,execution (e.g. program),realization"
じっさい,実際,"adj-no,adv,n","practical,actual condition,status quo"
じっし,実施,"n,vs","enforcement,enact,put into practice,carry out,operation"
じっしゅう,実習,"n,vs","practice,training"
じっせき,実績,n,"achievements,actual results"
しつど,湿度,n,level of humidity
じっと,,"adv,n","fixedly,firmly,patiently,quietly"
じつに,実に,adv,"indeed,truly,surely"
じつは,実は,"adv,exp","as a matter of fact,by the way"
しっぱい,失敗,"adj-no,n,vs","failure,mistake,blunder"
しっぴつ,執筆,n,writing
じつぶつ,実物,n,"real thing,original"
しっぽ,,n,tail (animal)
しつぼう,失望,"n,vs","disappointment,despair"
しつもん,質問,"n,vs","question,inquiry"
じつよう,実用,n,"practical use,utility"
じつりょく,実力,n,"merit,efficiency,arms,force"
しつれい,失礼,"adj-na,int,n,vs,exp","(1) discourtesy,impoliteness,(2) Excuse me,Goodbye"
（感）,しつれいしました,,"Excuse me.,I'm sorry."
じつれい,実例,n,"example,illustration"
しつれん,失恋,"n,vs","disappointed love,broken heart,unrequited love,be lovelorn"
してい,指定,"n,vs","designation,specification,assignment,pointing at"
してつ,私鉄,n,private railway
してん,支店,n,branch store (office)
じてん,辞典,n,dictionary
じてんしゃ,自転車,n,bicycle
しどう,指導,"n,vs","leadership,guidance,coaching"
じどう,自動,"adj-na,n","automatic,self-motion"
じどう,児童,n,"children,juvenile"
じどうしゃ,自動車,n,automobile
しな,品,n,"thing,article,goods,dignity,article (goods),counter for meal courses"
しなもの,品物,n,"goods,article,thing"
しぬ,死ぬ,v5n,to die
しはい,支配,"n,vs","rule,control,direction"
しばい,芝居,n,"play,drama"
しばしば,,adv,"often,again and again,frequently"
しばふ,芝生,n,lawn
しはらい,支払,n,payment
しはらう,支払う,v5u,to pay
しばらく,,"adv,int",little while
しばる,縛る,v5r,"to tie,to bind"
じばん,地盤,n,(the) ground
じびき,字引,n,dictionary
しびれる,,v1,"to become numb,to go to sleep (i.e., a limb)"
じぶん,自分,n,"myself,oneself"
しへい,紙幣,n,"paper money,notes,bills"
しぼう,死亡,"n,vs","death,mortality"
しぼむ,,v5m,"to wither,to fade (away),to shrivel,to wilt"
しぼる,絞る,v5r,"to press,to wring,to squeeze"
しほん,資本,n,"funds,capital"
しま,島,n,island
しま,縞,n,stripe
（終わり）,しまい,n,sisters
しまい,姉妹,n,sisters
（終わる）,しまう,v5u,"to finish,to close,to do something completely"
（感）,しまった,"exp,int",Damn it!
しまる,閉まる,"v5r,vi","to close,to be closed"
じまん,自慢,"n,vs","pride,boast"
じみ,地味,n,"plain,simple"
しみじみ,,,"keenly,deeply,heartily"
しみん,市民,n,"citizen,townspeople"
じむ,事務,n,"business,office work"
しめい,氏名,n,"full name,identity"
しめきり,締切,n,"closing,cut-off,end,deadline,Closed,No Entrance"
しめきる,締め切る,v5r,to shut up
しめす,示す,v5s,"to denote,to show,to point out,to indicate"
（感）,しめた,,"I've got it,all right,fine"
しめる,占める,v1,"(1) to comprise,to account for,to make up (of),(2) to hold,to occupy"
しめる,湿る,v5r,"to be wet,to become wet,to be damp"
しめる,閉める,"v1,vt","to close,to shut"
しめる,締める,v1,"to tie,to fasten"
じめん,地面,n,"ground,earth's surface"
しも,下,n,"under,below,beneath"
しも,霜,n,frost
~しゃ,~車,,
~しゃ,~者,,
~しゃ,~社,,
じゃあ,,"conj,int","well,well then"
ジャーナリスト,,n,journalist
しゃかい,社会,n,"society,public"
しゃかいかがく,社会科学,,social science
しゃがむ,,v5m,to squat
じゃぐち,蛇口,n,"faucet,tap"
じゃくてん,弱点,n,"weak point,weakness"
しゃこ,車庫,n,"garage,car shed"
しゃしょう,車掌,n,(train) conductor
しゃしん,写真,n,photograph
しゃせい,写生,"n,vs","sketching,drawing from nature"
しゃせつ,社説,n,"editorial,leading article"
シャツ,,n,"shirt,singlet"
しゃっきん,借金,n,"debt,loan,liabilities"
しゃっくり,,n,"hiccough,hiccup"
シャッター,,n,shutter
しゃぶる,,v5r,"to suck,to chew"
しゃべる,,v5r,"to talk,to chat,to chatter"
じゃま,邪魔,"adj-na,n,vs","hindrance,intrusion"
しゃりん,車輪,n,(car) wheel
しゃれ,洒落,"adj-na,n","joke,pun,witticism"
ジャム,,n,jam
シャワー,,n,shower
じゃんけん,,iK,(n) rock-scissors-paper game
~しゅ,~手,,
~しゅ,~酒,,
しゅう,週,"n,n-suf",week
しゅう,州,n,sandbank
~しゅう,~集,,
じゆう,自由,"adj-na,exp,n","freedom,liberty,as it pleases you"
じゅう,十,num,"10,ten"
じゅう,銃,,gun
じゅう~,重~,,
~じゅう,~重,,
~じゅう,~中,,
しゅうい,周囲,n,"surroundings,circumference,environs"
しゅうかい,集会,n,"meeting,assembly"
しゅうかく,収穫,"n,vs","harvest,crop,ingathering"
しゅうかん,週間,n,"week,weekly"
しゅうかん,習慣,n,"custom,habit,manners"
じゅうきょ,住居,n,"dwelling,house,residence,address"
しゅうきょう,宗教,n,religion
しゅうきん,集金,"n,vs",money collection
しゅうごう,集合,"n,vs","gathering,assembly,meeting,set (math)"
しゅうじ,習字,n,penmanship
じゅうし,重視,"n,vs","importance,stress,serious consideration"
じゅうしょ,住所,n,"address (e.g. of house),residence,domicile"
しゅうしょく,就職,"n,vs","finding employment,inauguration"
ジュース,,n,"juice,soft drink,deuce"
しゅうせい,修正,"n,vs","amendment,correction,revision,modification"
しゅうぜん,修繕,"n,vs","repair,mending"
じゅうたい,重体,"adj-na,n","seriously ill,serious condition,critical state"
じゅうたい,渋滞,"n,vs","congestion (e.g. traffic),delay,stagnation"
じゅうだい,重大,"adj-na,n","serious,important,grave,weighty"
じゅうたく,住宅,n,"resident,housing"
しゅうだん,集団,n,"group,mass"
（カーペット）,じゅうたん,n,carpet
しゅうちゅう,集中,"n,vs","concentration,focusing the mind"
しゅうてん,終点,n,"terminus,last stop (e.g train)"
じゅうてん,重点,n,"important point,lay stress on,colon,emphasis"
しゅうにゅう,収入,n,"income,receipts,revenue"
しゅうにん,就任,"n,vs","inauguration,assumption of office"
じゅうぶん,十分,,10 minutes
しゅうへん,周辺,n,"circumference,outskirts,environs,(computer) peripheral"
じゅうみん,住民,n,"citizens,inhabitants,residents,population"
じゅうやく,重役,n,"director,high executive"
じゅうよう,重要,"adj-na,n","important,momentous,essential,principal,major"
しゅうり,修理,"n,vs","repairing,mending"
しゅうりょう,終了,"n,vs","end,close,termination"
じゅうりょう,重量,n,"(1) weight,(2) heavyweight boxer"
じゅうりょく,重力,n,gravity
しゅぎ,主義,n,"doctrine,rule,principle"
じゅぎょう,授業,"n,vs","lesson,class work"
じゅくご,熟語,n,"idiom,idiomatic phrase,kanji compound"
しゅくじつ,祝日,n,national holiday
しゅくしょう,縮小,"n,vs","reduction,curtailment"
しゅくだい,宿題,n,homework
しゅくはく,宿泊,n,lodging
じゅけん,受験,"n,vs",taking an examination
しゅご,主語,n,(gram) subject
しゅじゅつ,手術,n,surgical operation
しゅしょう,首相,n,Prime Minister
しゅじん,主人,n,"master,head (of a household),landlord,one's husband"
しゅだん,手段,n,"means,way,measure"
しゅちょう,主張,"n,vs","claim,request,insistence,assertion"
しゅっきん,出勤,"n,vs","going to work,at work"
じゅつご,述語,n,predicate
しゅつじょう,出場,n,"one's turn,place of projection,production center"
しゅっしん,出身,n,"graduate from,come from"
しゅっせき,出席,"n,vs","attendance,presence"
しゅっちょう,出張,"n,vs","official tour,business trip"
しゅっぱつ,出発,"n,vs",departure
しゅっぱん,出版,"n,vs",publication
しゅと,首都,n,capital city
しゅふ,主婦,n,"housewife,mistress"
しゅみ,趣味,n,"hobby,tastes,preference"
じゅみょう,寿命,n,life span
しゅやく,主役,n,"leading part,leading actor (actress)"
しゅよう,主要,"adj-na,n","chief,main,principal,major"
じゅよう,需要,n,"demand,request"
しゅるい,種類,n,"variety,kind,type"
じゅわき,受話器,n,(telephone) receiver
じゅん,順,"adj-na,n,n-suf","order,turn"
しゅんかん,瞬間,"n-adv,n-t","moment,second,instant"
じゅんかん,循環,n,"circulation,rotation,cycle"
じゅんさ,巡査,n,"police,policeman"
じゅんじゅん,順々,"adv,n","in order,in turn"
じゅんじょ,順序,n,"order,sequence,procedure"
じゅんじょう,純情,"adj-na,n","pure heart,naivete,self-sacrificing devotion"
じゅんすい,純粋,"adj-na,n","pure,true,genuine,unmixed"
じゅんちょう,順調,"adj-na,n","favourable,doing well,O.K.,all right"
じゅんばん,順番,n,"turn (in line),order of things"
じゅんび,準備,"n,vs","preparation,arrangements,provision,reserve"
しょ~,初~,,
しょ~,諸~,,
~しょ,~所,,
~じょ,~所,,
じょ~,女~,,
~じょ,~女,,
しよう,使用,"n,vs","use,application,employment,utilization"
しょう,小,,
しょう,章,n,"(1) chapter,section,(2) medal"
しょう,賞,"n,n-suf","prize,award"
しょう~,省~,,
~しょう,~省,,
~しょう,~商,,
~しょう,~勝,,
じょう,上,"n,pref,suf","(1) first volume,(2) superior quality,(3) governmental"
~じょう,~状,,
~じょう,~場,,
~じょう,~畳,,
しょうか,消化,"n,vs",digestion
しょうかい,紹介,"n,vs",introduction
しょうがい,障害,n,"obstacle,impediment (fault),damage"
しょうがくきん,奨学金,n,scholarship
しょうがくせい,小学生,n,grade school student
しょうがつ,正月,n,"New Year,New Year's Day,the first month,January"
しょうがっこう,小学校,n,"primary school,elementary school"
しょうがない,,,
しょうぎ,将棋,n,Japanese chess
じょうき,蒸気,n,"steam,vapour"
じょうぎ,定規,n,(measuring) ruler
じょうきゃく,乗客,n,passenger
じょうきゅう,上級,n,"advanced level,high grade,senior"
しょうぎょう,商業,n,"commerce,trade,business"
じょうきょう,上京,"n,vs",proceeding to the capital (Tokyo)
じょうきょう,状況,n,"state of affairs,situation,circumstances"
しょうきょくてき,消極的,adj-na,passive
しょうきん,賞金,n,"prize,monetary award"
じょうげ,上下,"n,vs","high and low,up and down,unloading and loading,praising and blaming"
じょうけん,条件,n,"conditions,terms"
しょうご,正午,"n-adv,n-t","noon,mid-day"
しょうじ,障子,n,paper sliding door
しょうじき,正直,"adj-na,adv,n","honesty,integrity,frankness"
じょうしき,常識,n,common sense
しょうしゃ,商社,n,"trading company,firm"
じょうしゃ,乗車,"n,vs","taking a train,entraining"
じょうじゅん,上旬,"n-adv,n-t",first 10 days of month
しょうじょ,少女,n,"daughter,young lady,virgin,maiden,little girl"
しょうしょう,少々,"adv,exp,n-adv,n","just a minute,small quantity"
しょうじょう,症状,n,"symptoms,condition"
しょうじる,生じる,v1,"to produce,to yield,to result from,to arise,to be generated"
しょうずる,生ずる,v5z,"to cause,to arise,to be generated"
じょうず,上手,"adj-na,n","skill,skillful,dexterity"
しょうすう,小数,n,"fraction (part of),decimal"
しょうせつ,小説,n,"novel,story"
しょうたい,招待,"n,vs",invitation
じょうたい,状態,n,"condition,situation,circumstances,state"
じょうたつ,上達,"n,vs","improvement,advance,progress"
じょうだん,冗談,n,"jest,joke"
しょうち,承知,"n,vs","consent,acceptance,assent,admitting"
しょうてん,商店,n,"shop,business firm"
しょうてん,焦点,n,"focus,point"
じょうとう,上等,"adj-na,n","superiority,first class,very good"
しょうどく,消毒,"n,vs","disinfection,sterilization"
しょうとつ,衝突,"n,vs","collision,conflict"
しょうにん,商人,n,"trader,shopkeeper,merchant"
しょうにん,承認,n,"recognition,acknowledgement,approval,consent,agreement"
しょうねん,少年,n,"boys,juveniles"
しょうはい,勝敗,n,"victory or defeat,issue (of battle)"
しょうばい,商売,"n,vs","trade,business,commerce,transaction,occupation"
じょうはつ,蒸発,"n,vs","evaporation,unexplained disappearance"
しょうひ,消費,"n,vs","consumption,expenditure"
しょうひん,商品,n,"commodity,article of commerce,goods,stock,merchandise"
しょうひん,賞品,n,"prize,trophy"
じょうひん,上品,n,Buddhism's highest paradise
しょうぶ,勝負,"n,vs","victory or defeat,match,contest,game,bout"
じょうぶ,丈夫,"adj-na,n","(1) hero,gentleman,(2) good health,robustness,strong"
しょうべん,小便,n,"(col) urine,piss"
しょうぼう,消防,n,"fire fighting,fire department"
しょうぼうしょ,消防署,n,fire station
じょうほう,情報,n,"information,(military) intelligence"
しょうみ,正味,n,net (weight)
しょうめい,証明,"n,vs","proof,verification"
しょうめん,正面,"adj-na,n","the front,honesty"
しょうもう,消耗,"n,vs","exhaustion,consumption"
しょうゆ,醤油,n,soy sauce
しょうらい,将来,"n-adv,n-t","future,prospects"
しょうりゃく,省略,"n,vs","omission,abbreviation,abridgment"
じょおう,女王,n,queen
しょきゅう,初級,n,elementary level
じょきょうじゅ,助教授,n,assistant professor
しょく,職,"n,n-suf",employment
~しょく,~色,,
しょくえん,食塩,n,table salt
しょくぎょう,職業,n,"occupation,business"
しょくじ,食事,"n,vs",meal
しょくたく,食卓,n,dining table
しょくどう,食堂,n,"cafeteria,dining hall"
しょくにん,職人,n,"worker,mechanic,artisan,craftsman"
しょくば,職場,n,"one's post,place of work,workplace"
しょくひん,食品,n,"commodity,foodstuff"
しょくぶつ,植物,n,"plant,vegetation"
しょくもつ,食物,n,"food,foodstuff"
しょくよく,食欲,n,appetite (for food)
しょくりょう,食料,n,food
しょくりょう,食糧,n,"provisions,rations"
しょさい,書斎,n,study
じょし,女子,n,"woman,girl"
じょしゅ,助手,n,"helper,helpmeet,assistant,tutor"
